0	664	412	739	744	731	726	201	411	736	421	477	615	484	403	425	401	741	745	734	728	724	478	492	639	391	479	759	414	740	729	725	413	423	614	616	617	454	460	627	737	626	735	482
Products	Life Line Basic	Basic	Basic	Basic	Basic	Basic	Basic	Basic	Basic	Basic	Basic EAS	Bro-Basic Plus	Basic EAS Extra	Advantage Package	Advantage Package	Advantage Package	Advantage Package	Advantage Package	Advantage Package	Advantage Package	Advantage Package	Advantage EAS Package	Advantage Package	Advantage EAS Lite	Premier Package	Premier EAS Package	Premier EAS Unlimited	Premier Package	Premier Package	Premier Package	Premier Package	Complete Package	Complete Package	Complete Package	Complete Package	Complete Unlimited	Complete Unlimited	Complete Unlimited	Complete Unlimited	Complete Unlimited	Premier Unlimited	Premier Unlimited	Premier EAS Plus Package
																																	<img src="images/new.gif" border="0">	<img src="images/new.gif" border="0">			<img src="images/new.gif" border="0">	<img src="images/new.gif" border="0">	<img src="images/new.gif" border="0">	<img src="images/new.gif" border="0">	<img src="images/new.gif" border="0">	<img src="images/new.gif" border="0">	
Local Calling	Unlimited	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited	Unlimited 	Unlimited	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited 	Unlimited	Unlimited	Unlimited	Unlimited	Unlimited	Unlimited	Unlimited	Unlimited 
Domestic Long Distance								100 minutes for 5 months	100 minutes for 5 months		100 minutes for 5 months	250 minutes for 2 months	100 minutes for 5 months	100 minutes each month	100 minutes each month	100 minutes each month	100 minutes each month	100 minutes each month	100 minutes each month	100 minutes each month	100 minutes each month	100 minutes each month	100 minutes each month		100 minutes for 5 months	100 minutes for 5 months	Unlimited 	100 minutes for 5 months	100 minutes for 5 months	100 minutes for 5 months	100 minutes for 5 months	500 minutes each month	500 minutes each month	250 minutes for 2 months	250 minutes for 2 months	Unlimited	Unlimited	Unlimited	Unlimited	Unlimited	Unlimited	Unlimited	500 minutes each month
dPi Club Program	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true
Call Waiting		 						 			 		 	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true
Caller ID		 						 			 		 	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true
3 Way Calling		 												true	true	 	 					 	 		true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true
Call Forwarding														true	true	 						 	 		true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true
Call Return														true	true	 						true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true	true
